title,desc,badge,logo_url,link,icon_type,emoji
Chita State Medical Academy,University of Russia Official partner With Gauranga Consultancy,V3,https://chitastatemedicalacademy.in/media/logo/logo.png,https://chitastatemedicalacademy.in/,image,
Secure Credential Vault,"AES-256 encrypted password manager. Master password never stored — MAC verified per request.",V4,,#,svg_key,
Amur State Medical Academy,University of Russia Official partner With Gauranga Consultancy,V2,https://amurstatemedicalacademy.com/media/logo/logo.png,https://amurstatemedicalacademy.com/,image,
Gauranga Consultancy,"Crafted a responsive consultancy platform featuring university listings, admission assistance, student resources, and lead-generation focused user experience.",V2,https://gaurangaconsultancy.com/media/logo/logo.png,https://gaurangaconsultancy.com/,image,
3D Playground,Experimental 3D design explorations,V2,,,emoji,🧊
Personal Portfolio v5,Redesigned personal portfolio with dark/light mode and CSV-driven dynamic content.,V5,,,emoji,🌐
